Run,BioProject,BioSample,DATASTORE filetype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,lat_lon,Reef_Site,Library Name,Organism,Sample Name
SRR28497562,PRJNA1093451,SAMN40654660,"run.zq,sra,fastq",SRX24099472,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,O83,Orbicella faveolata,O83.fastq
SRR28497563,PRJNA1093451,SAMN40654659,"sra,fastq,run.zq",SRX24099471,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,O82,Orbicella faveolata,O82.fastq
SRR28497564,PRJNA1093451,SAMN40654658,"run.zq,sra,fastq",SRX24099470,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,O81,Orbicella faveolata,O81.fastq
SRR28497565,PRJNA1093451,SAMN40654613,"run.zq,sra,fastq",SRX24099469,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O6,Orbicella faveolata,O6.fastq
SRR28497566,PRJNA1093451,SAMN40654657,"fastq,sra,run.zq",SRX24099468,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,O80,Orbicella faveolata,O80.fastq
SRR28497567,PRJNA1093451,SAMN40654656,"run.zq,fastq,sra",SRX24099467,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,O78,Orbicella faveolata,O78.fastq
SRR28497568,PRJNA1093451,SAMN40654655,"sra,run.zq,fastq",SRX24099466,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,O75,Orbicella faveolata,O75.fastq
SRR28497569,PRJNA1093451,SAMN40654654,"fastq,sra,run.zq",SRX24099465,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,O73,Orbicella faveolata,O73.fastq
SRR28497570,PRJNA1093451,SAMN40654653,"fastq,sra,run.zq",SRX24099464,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,O65,Orbicella faveolata,O65.fastq
SRR28497571,PRJNA1093451,SAMN40654652,"fastq,sra,run.zq",SRX24099463,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,O62,Orbicella faveolata,O62.fastq
SRR28497572,PRJNA1093451,SAMN40654651,"fastq,sra,run.zq",SRX24099462,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,O61,Orbicella faveolata,O61.fastq
SRR28497573,PRJNA1093451,SAMN40654650,"sra,fastq,run.zq",SRX24099461,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,O60,Orbicella faveolata,O60.fastq
SRR28497574,PRJNA1093451,SAMN40654649,"run.zq,fastq,sra",SRX24099460,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,O58,Orbicella faveolata,O58.fastq
SRR28497575,PRJNA1093451,SAMN40654648,"fastq,run.zq,sra",SRX24099459,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,O57,Orbicella faveolata,O57.fastq
SRR28497576,PRJNA1093451,SAMN40654612,"run.zq,fastq,sra",SRX24099458,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O5,Orbicella faveolata,O5.fastq
SRR28497577,PRJNA1093451,SAMN40654647,"sra,fastq",SRX24099457,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,O54,Orbicella faveolata,O54.fastq
SRR28497578,PRJNA1093451,SAMN40654646,"fastq,sra",SRX24099456,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,O53,Orbicella faveolata,O53.fastq
SRR28497579,PRJNA1093451,SAMN40654645,"run.zq,sra,fastq",SRX24099455,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,O51,Orbicella faveolata,O51.fastq
SRR28497580,PRJNA1093451,SAMN40654644,"fastq,sra,run.zq",SRX24099454,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,O50,Orbicella faveolata,O50.fastq
SRR28497581,PRJNA1093451,SAMN40654643,"sra,run.zq,fastq",SRX24099453,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,O48,Orbicella faveolata,O48.fastq
SRR28497582,PRJNA1093451,SAMN40654642,"sra,run.zq,fastq",SRX24099452,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,O47,Orbicella faveolata,O47.fastq
SRR28497583,PRJNA1093451,SAMN40654763,"sra,fastq,run.zq",SRX24099451,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,P20,Porites astreoides,P20.fastq
SRR28497584,PRJNA1093451,SAMN40654762,"run.zq,fastq,sra",SRX24099450,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,P18,Porites astreoides,P18.fastq
SRR28497585,PRJNA1093451,SAMN40654761,"sra,fastq,run.zq",SRX24099449,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,P17,Porites astreoides,P17.fastq
SRR28497586,PRJNA1093451,SAMN40654760,"run.zq,sra,fastq",SRX24099448,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,P16,Porites astreoides,P16.fastq
SRR28497587,PRJNA1093451,SAMN40654759,"fastq,run.zq,sra",SRX24099447,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,P14,Porites astreoides,P14.fastq
SRR28497588,PRJNA1093451,SAMN40654758,"fastq,run.zq,sra",SRX24099446,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,P13,Porites astreoides,P13.fastq
SRR28497589,PRJNA1093451,SAMN40654623,"fastq,sra,run.zq",SRX24099445,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O17,Orbicella faveolata,O17.fastq
SRR28497590,PRJNA1093451,SAMN40654757,"sra,run.zq,fastq",SRX24099444,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,P11,Porites astreoides,P11.fastq
SRR28497591,PRJNA1093451,SAMN40654756,"fastq,run.zq,sra",SRX24099443,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,P10,Porites astreoides,P10.fastq
SRR28497592,PRJNA1093451,SAMN40654755,"fastq,run.zq,sra",SRX24099442,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,P9,Porites astreoides,P9.fastq
SRR28497593,PRJNA1093451,SAMN40654754,"fastq,sra,run.zq",SRX24099441,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,P8,Porites astreoides,P8.fastq
SRR28497594,PRJNA1093451,SAMN40654753,"fastq,sra",SRX24099440,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,P7,Porites astreoides,P7.fastq
SRR28497595,PRJNA1093451,SAMN40654752,"run.zq,fastq,sra",SRX24099439,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,P4,Porites astreoides,P4.fastq
SRR28497596,PRJNA1093451,SAMN40654751,"sra,run.zq,fastq",SRX24099438,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,P3,Porites astreoides,P3.fastq
SRR28497597,PRJNA1093451,SAMN40654750,"run.zq,fastq,sra",SRX24099437,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,P2,Porites astreoides,P2.fastq
SRR28497598,PRJNA1093451,SAMN40654749,"run.zq,fastq,sra",SRX24099436,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,A100,Agaricia agaricites,A100.fastq
SRR28497599,PRJNA1093451,SAMN40654748,"fastq,run.zq,sra",SRX24099435,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,A99,Agaricia agaricites,A99.fastq
SRR28497600,PRJNA1093451,SAMN40654622,"sra,run.zq,fastq",SRX24099434,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O16,Orbicella faveolata,O16.fastq
SRR28497601,PRJNA1093451,SAMN40654747,"sra,run.zq,fastq",SRX24099433,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,A98,Agaricia agaricites,A98.fastq
SRR28497602,PRJNA1093451,SAMN40654746,"fastq,run.zq,sra",SRX24099432,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,A96,Agaricia agaricites,A96.fastq
SRR28497603,PRJNA1093451,SAMN40654745,"run.zq,fastq,sra",SRX24099431,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,A95,Agaricia agaricites,A95.fastq
SRR28497604,PRJNA1093451,SAMN40654744,"run.zq,fastq,sra",SRX24099430,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,A94,Agaricia agaricites,A94.fastq
SRR28497605,PRJNA1093451,SAMN40654743,"run.zq,sra,fastq",SRX24099429,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,A93,Agaricia agaricites,A93.fastq
SRR28497606,PRJNA1093451,SAMN40654742,"fastq,sra,run.zq",SRX24099428,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,A92,Agaricia agaricites,A92.fastq
SRR28497607,PRJNA1093451,SAMN40654741,"fastq,sra,run.zq",SRX24099427,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,A84,Agaricia agaricites,A84.fastq
SRR28497608,PRJNA1093451,SAMN40654740,"sra,fastq",SRX24099426,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,A82,Agaricia agaricites,A82.fastq
SRR28497609,PRJNA1093451,SAMN40654739,"fastq,run.zq,sra",SRX24099425,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,A81,Agaricia agaricites,A81.fastq
SRR28497610,PRJNA1093451,SAMN40654738,"fastq,run.zq,sra",SRX24099424,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A80,Agaricia agaricites,A80.fastq
SRR28497611,PRJNA1093451,SAMN40654621,"sra,fastq,run.zq",SRX24099423,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O15,Orbicella faveolata,O15.fastq
SRR28497612,PRJNA1093451,SAMN40654737,"fastq,sra,run.zq",SRX24099422,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A79,Agaricia agaricites,A79.fastq
SRR28497613,PRJNA1093451,SAMN40654736,"sra,run.zq,fastq",SRX24099421,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A78,Agaricia agaricites,A78.fastq
SRR28497614,PRJNA1093451,SAMN40654735,"run.zq,sra,fastq",SRX24099420,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A77,Agaricia agaricites,A77.fastq
SRR28497615,PRJNA1093451,SAMN40654641,"fastq,sra,run.zq",SRX24099419,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,O44,Orbicella faveolata,O44.fastq
SRR28497616,PRJNA1093451,SAMN40654640,"sra,run.zq,fastq",SRX24099418,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,O43,Orbicella faveolata,O43.fastq
SRR28497617,PRJNA1093451,SAMN40654639,"fastq,run.zq,sra",SRX24099417,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,O42,Orbicella faveolata,O42.fastq
SRR28497618,PRJNA1093451,SAMN40654638,"sra,run.zq,fastq",SRX24099416,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,O41,Orbicella faveolata,O41.fastq
SRR28497619,PRJNA1093451,SAMN40654611,"fastq,sra,run.zq",SRX24099415,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O4,Orbicella faveolata,O4.fastq
SRR28497620,PRJNA1093451,SAMN40654637,"run.zq,sra,fastq",SRX24099414,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,O40,Orbicella faveolata,O40.fastq
SRR28497621,PRJNA1093451,SAMN40654636,"sra,fastq,run.zq",SRX24099413,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,O38,Orbicella faveolata,O38.fastq
SRR28497622,PRJNA1093451,SAMN40654635,"fastq,sra,run.zq",SRX24099412,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,O37,Orbicella faveolata,O37.fastq
SRR28497623,PRJNA1093451,SAMN40654634,"run.zq,fastq,sra",SRX24099411,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,O36,Orbicella faveolata,O36.fastq
SRR28497624,PRJNA1093451,SAMN40654633,"run.zq,fastq,sra",SRX24099410,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,O35,Orbicella faveolata,O35.fastq
SRR28497625,PRJNA1093451,SAMN40654632,"sra,fastq,run.zq",SRX24099409,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,O34,Orbicella faveolata,O34.fastq
SRR28497626,PRJNA1093451,SAMN40654839,"run.zq,fastq,sra",SRX24099408,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,P100,Porites astreoides,P100.fastq
SRR28497627,PRJNA1093451,SAMN40654838,"sra,fastq,run.zq",SRX24099407,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,P99,Porites astreoides,P99.fastq
SRR28497628,PRJNA1093451,SAMN40654631,"sra,run.zq,fastq",SRX24099406,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,O33,Orbicella faveolata,O33.fastq
SRR28497629,PRJNA1093451,SAMN40654837,"run.zq,sra,fastq",SRX24099405,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,P98,Porites astreoides,P98.fastq
SRR28497630,PRJNA1093451,SAMN40654836,"sra,fastq,run.zq",SRX24099404,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,P97,Porites astreoides,P97.fastq
SRR28497631,PRJNA1093451,SAMN40654835,"fastq,sra,run.zq",SRX24099403,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,P96,Porites astreoides,P96.fastq
SRR28497632,PRJNA1093451,SAMN40654834,"run.zq,fastq,sra",SRX24099402,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,P95,Porites astreoides,P95.fastq
SRR28497633,PRJNA1093451,SAMN40654833,"sra,run.zq,fastq",SRX24099401,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,P93,Porites astreoides,P93.fastq
SRR28497634,PRJNA1093451,SAMN40654832,"sra,fastq,run.zq",SRX24099400,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,P91,Porites astreoides,P91.fastq
SRR28497635,PRJNA1093451,SAMN40654831,"sra,run.zq,fastq",SRX24099399,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,P90,Porites astreoides,P90.fastq
SRR28497636,PRJNA1093451,SAMN40654830,"fastq,sra,run.zq",SRX24099398,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,P89,Porites astreoides,P89.fastq
SRR28497637,PRJNA1093451,SAMN40654829,"fastq,run.zq,sra",SRX24099397,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,P88,Porites astreoides,P88.fastq
SRR28497638,PRJNA1093451,SAMN40654828,"sra,fastq,run.zq",SRX24099396,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,P87,Porites astreoides,P87.fastq
SRR28497639,PRJNA1093451,SAMN40654630,"sra,fastq,run.zq",SRX24099395,Dominican Republic,North America,18.365881 N 68.850397 W,Fundemar,O32,Orbicella faveolata,O32.fastq
SRR28497640,PRJNA1093451,SAMN40654827,"sra,fastq,run.zq",SRX24099394,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,P86,Porites astreoides,P86.fastq
SRR28497641,PRJNA1093451,SAMN40654826,"fastq,sra,run.zq",SRX24099393,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,P85,Porites astreoides,P85.fastq
SRR28497642,PRJNA1093451,SAMN40654825,"run.zq,sra,fastq",SRX24099392,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,P84,Porites astreoides,P84.fastq
SRR28497643,PRJNA1093451,SAMN40654824,"fastq,run.zq,sra",SRX24099391,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,P83,Porites astreoides,P83.fastq
SRR28497644,PRJNA1093451,SAMN40654823,"run.zq,fastq,sra",SRX24099390,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,P82,Porites astreoides,P82.fastq
SRR28497645,PRJNA1093451,SAMN40654822,"run.zq,fastq,sra",SRX24099389,Dominican Republic,North America,18.339088 N 68.826408 W,Coco Reef,P81,Porites astreoides,P81.fastq
SRR28497646,PRJNA1093451,SAMN40654821,"fastq,run.zq,sra",SRX24099388,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,P80,Porites astreoides,P80.fastq
SRR28497647,PRJNA1093451,SAMN40654734,"run.zq,fastq,sra",SRX24099387,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A76,Agaricia agaricites,A76.fastq
SRR28497648,PRJNA1093451,SAMN40654733,"fastq,sra,run.zq",SRX24099386,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A75,Agaricia agaricites,A75.fastq
SRR28497649,PRJNA1093451,SAMN40654732,"run.zq,fastq,sra",SRX24099385,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A74,Agaricia agaricites,A74.fastq
SRR28497650,PRJNA1093451,SAMN40654731,"fastq,run.zq,sra",SRX24099384,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A73,Agaricia agaricites,A73.fastq
SRR28497651,PRJNA1093451,SAMN40654730,"fastq,sra,run.zq",SRX24099383,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A72,Agaricia agaricites,A72.fastq
SRR28497652,PRJNA1093451,SAMN40654729,"fastq,sra,run.zq",SRX24099382,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A70,Agaricia agaricites,A70.fastq
SRR28497653,PRJNA1093451,SAMN40654728,"sra,fastq,run.zq",SRX24099381,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A69,Agaricia agaricites,A69.fastq
SRR28497654,PRJNA1093451,SAMN40654620,"fastq,sra,run.zq",SRX24099380,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O14,Orbicella faveolata,O14.fastq
SRR28497655,PRJNA1093451,SAMN40654727,"sra,run.zq,fastq",SRX24099379,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A68,Agaricia agaricites,A68.fastq
SRR28497656,PRJNA1093451,SAMN40654726,"run.zq,sra,fastq",SRX24099378,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A67,Agaricia agaricites,A67.fastq
SRR28497657,PRJNA1093451,SAMN40654725,"run.zq,fastq,sra",SRX24099377,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A66,Agaricia agaricites,A66.fastq
SRR28497658,PRJNA1093451,SAMN40654724,"run.zq,fastq,sra",SRX24099376,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A64,Agaricia agaricites,A64.fastq
SRR28497659,PRJNA1093451,SAMN40654723,"fastq,sra",SRX24099375,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A63,Agaricia agaricites,A63.fastq
SRR28497660,PRJNA1093451,SAMN40654722,"run.zq,fastq,sra",SRX24099374,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A62,Agaricia agaricites,A62.fastq
SRR28497661,PRJNA1093451,SAMN40654721,"run.zq,sra,fastq",SRX24099373,Dominican Republic,North America,18.373555 N 69.005351 W,La Pared,A61,Agaricia agaricites,A61.fastq
SRR28497662,PRJNA1093451,SAMN40654720,"sra,run.zq,fastq",SRX24099372,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A60,Agaricia agaricites,A60.fastq
SRR28497663,PRJNA1093451,SAMN40654719,"run.zq,fastq,sra",SRX24099371,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A59,Agaricia agaricites,A59.fastq
SRR28497664,PRJNA1093451,SAMN40654718,"sra,fastq",SRX24099370,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A58,Agaricia agaricites,A58.fastq
SRR28497665,PRJNA1093451,SAMN40654619,"sra,fastq,run.zq",SRX24099369,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O13,Orbicella faveolata,O13.fastq
SRR28497666,PRJNA1093451,SAMN40654717,"fastq,sra,run.zq",SRX24099368,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A57,Agaricia agaricites,A57.fastq
SRR28497667,PRJNA1093451,SAMN40654716,"run.zq,sra,fastq",SRX24099367,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A56,Agaricia agaricites,A56.fastq
SRR28497668,PRJNA1093451,SAMN40654715,"run.zq,sra,fastq",SRX24099366,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A55,Agaricia agaricites,A55.fastq
SRR28497669,PRJNA1093451,SAMN40654714,"sra,fastq,run.zq",SRX24099365,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A54,Agaricia agaricites,A54.fastq
SRR28497670,PRJNA1093451,SAMN40654713,"fastq,sra,run.zq",SRX24099364,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A53,Agaricia agaricites,A53.fastq
SRR28497671,PRJNA1093451,SAMN40654712,"sra,run.zq,fastq",SRX24099363,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A52,Agaricia agaricites,A52.fastq
SRR28497672,PRJNA1093451,SAMN40654711,"run.zq,sra,fastq",SRX24099362,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A51,Agaricia agaricites,A51.fastq
SRR28497673,PRJNA1093451,SAMN40654710,"fastq,sra",SRX24099361,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A50,Agaricia agaricites,A50.fastq
SRR28497674,PRJNA1093451,SAMN40654709,"sra,run.zq,fastq",SRX24099360,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A48,Agaricia agaricites,A48.fastq
SRR28497675,PRJNA1093451,SAMN40654708,"sra,fastq,run.zq",SRX24099359,Dominican Republic,North America,18.37308 N 68.85326 W,La Playita,A47,Agaricia agaricites,A47.fastq
SRR28497676,PRJNA1093451,SAMN40654618,"run.zq,fastq,sra",SRX24099358,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O12,Orbicella faveolata,O12.fastq
SRR28497677,PRJNA1093451,SAMN40654609,"sra,fastq,run.zq",SRX24099357,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O2,Orbicella faveolata,O2.fastq
SRR28497678,PRJNA1093451,SAMN40654608,"fastq,sra,run.zq",SRX24099356,Dominican Republic,North America,18.26166 N 68.799564 W,El Penon,O1,Orbicella faveolata,O1.fastq